Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  NisSrv.exe		6,556 K	4,836 K	6264	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		2,036 K	2,988 K	7004	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,576 K	4,496 K	340	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.04	5,164 K	8,492 K	4800	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		2,432 K	2,516 K	5416	System Guard Runtime Monitor Broker Service	Microsoft Corporation
  svchost.exe		2,568 K	3,068 K	5868	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		24,588 K	9,108 K	6248	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,176 K	2,992 K	1716	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,388 K	1,056 K	2016	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,228 K	1,876 K	3364	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,416 K	3,468 K	2880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,136 K	7,552 K	5220	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,768 K	7,312 K	6188	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,788 K	6,584 K	6628	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	9,368 K	20,480 K	3264	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,840 K	11,400 K	5364	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.30	6,864 K	10,764 K	588	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,548 K	1,148 K	728		
csrss.exe	1.44	1,940 K	1,976 K	496		
winlogon.exe		2,532 K	2,052 K	596		
 fontdrvhost.exe		5,540 K	5,668 K	916		
 dwm.exe	4.23	76,240 K	109,804 K	988		
explorer.exe	0.28	60,896 K	124,468 K	2348	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,896 K	1,564 K	3384	Windows Defender notification icon	Microsoft Corporation
 OneDrive.exe		27,784 K	22,228 K	3796	Microsoft OneDrive	Microsoft Corporation
 git-bash.exe		1,608 K	1,148 K	3476	Git for Windows	The Git Development Community
  mintty.exe	0.35	7,580 K	6,456 K	5628	MSYS2 terminal	Andy Koppe / Thomas Wolff
 Taskmgr.exe	1.50	26,700 K	53,020 K	784		
 SystemPropertiesAdvanced.exe		3,012 K	17,724 K	5048		
 powershell.exe	0.03	59,588 K	68,800 K	5372	Windows PowerShell	Microsoft Corporation
  conhost.exe	0.01	3,672 K	15,872 K	2448	Console Window Host	Microsoft Corporation
 procexp64.exe	16.49	20,344 K	55,480 K	4716	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
GoogleCrashHandler.exe		1,616 K	196 K	700		
GoogleCrashHandler64.exe		1,664 K	132 K	3420		
firefox.exe	0.88	167,936 K	225,488 K	4976	Firefox	Mozilla Corporation
 firefox.exe		61,236 K	95,336 K	5492	Firefox	Mozilla Corporation
 firefox.exe		19,528 K	21,976 K	6588	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	54,864 K	73,440 K	3788	Firefox	Mozilla Corporation
 firefox.exe		75,792 K	124,256 K	6556	Firefox	Mozilla Corporation
 firefox.exe		39,968 K	89,784 K	3836	Firefox	Mozilla Corporation
conhost.exe		5,684 K	4,668 K	4564	Console Window Host	Microsoft Corporation
bash.exe		6,532 K	2,700 K	5512		

